time,x,y,velocity,acceleration
2062.048027681958,-4693038.055424788,4880761.703907775,7672.490413284695,8.694005190065187
2072.048027681958,-4748041.440009561,4827270.81112612,7672.490413284674,8.69400519006513
2082.048027681958,-4802435.179708332,4773160.100467866,7672.490413284653,8.69400519006507
2092.048027681958,-4856212.290406563,4718436.519706836,7672.490413284631,8.694005190065011
2102.048027681958,-4909365.867164412,4663107.0953089055,7672.490413284611,8.694005190064955
2112.048027681958,-4961889.0851033125,4607178.931529809,7672.490413284589,8.694005190064898
2122.048027681958,-5013775.200282293,4550659.20950296,7672.490413284567,8.694005190064837
2132.048027681958,-5065017.550563887,4493555.186317397,7672.490413284545,8.694005190064773
2142.048027681958,-5115609.556469545,4435874.194085983,7672.490413284522,8.694005190064711
2152.048027681958,-5165544.722024441,4377623.6390039595,7672.4904132844995,8.69400519006465
2162.048027681958,-5214816.635591545,4318811.000398006,7672.490413284477,8.69400519006459
2172.048027681958,-5263418.970694876,4259443.829765896,7672.490413284455,8.694005190064528
2182.048027681958,-5311345.486831815,4199529.749806889,7672.490413284431,8.694005190064466
2192.048027681958,-5358590.03027438,4139076.4534429847,7672.490413284408,8.6940051900644
2202.048027681958,-5405146.534859361,4078091.702831155,7672.490413284385,8.694005190064338
2212.048027681958,-5451009.022767212,4016583.3283666917,7672.49041328436,8.694005190064274
2222.048027681958,-5496171.605289595,3954559.2276777877,7672.490413284337,8.694005190064209
2232.048027681958,-5540628.483585489,3892027.3646114883,7672.490413284314,8.694005190064146
2242.048027681958,-5584373.949425755,3828995.76821114,7672.4904132842885,8.694005190064082
2252.048027681958,-5627402.385926069,3765472.531685466,7672.490413284264,8.69400519006402
2262.048027681958,-5669708.268268125,3701465.8113694056,7672.49041328424,8.694005190063953
2272.048027681958,-5711286.164409018,3636983.825676847,7672.490413284215,8.694005190063884
2282.048027681958,-5752130.735778714,3572034.854045388,7672.490413284189,8.694005190063818
2292.048027681958,-5792236.737965517,3506627.2358732643,7672.490413284164,8.694005190063752
2302.048027681958,-5831599.02138945,3440769.369448576,7672.490413284138,8.694005190063683
2312.048027681958,-5870212.5319634555,3374469.710870954,7672.490413284114,8.694005190063612
2322.048027681958,-5908072.3117423365,3307736.7729658037,7672.4904132840875,8.694005190063546
2332.048027681958,-5945173.499559353,3240579.124191264,7672.490413284061,8.694005190063475
2342.048027681958,-5981511.331650393,3173005.387538025,7672.490413284035,8.694005190063402
2352.048027681958,-6017081.142265635,3105024.239422141,7672.490413284009,8.694005190063338
2362.048027681958,-6051878.364268625,3036644.408570987,7672.490413283982,8.694005190063269
2372.048027681958,-6085898.529722699,2967874.6749024955,7672.490413283956,8.694005190063194
2382.048027681958,-6119137.270464656,2898723.868397822,7672.490413283929,8.694005190063125
2392.048027681958,-6151590.318665631,2829200.8679675837,7672.490413283902,8.694005190063056
2402.048027681958,-6183253.50737908,2759314.6003118115,7672.490413283875,8.694005190062983
2412.048027681958,-6214122.771075812,2689074.038773771,7672.490413283848,8.694005190062908
2422.048027681958,-6244194.1461660005,2618488.20218779,7672.490413283821,8.694005190062837
2432.048027681958,-6273463.771508105,2547566.153721249,7672.490413283793,8.694005190062766
2442.048027681958,-6301927.8889046395,2476316.9997108765,7672.4904132837655,8.694005190062693
2452.048027681958,-6329582.843584721,2404749.8884935016,7672.490413283738,8.694005190062619
2462.048027681958,-6356425.0846733395,2332874.009231416,7672.49041328371,8.694005190062546
2472.048027681958,-6382451.16564729,2260698.590732492,7672.490413283682,8.694005190062471
2482.048027681958,-6407657.744777698,2188232.900265211,7672.490413283654,8.694005190062397
2492.048027681958,-6432041.585559102,2115486.2423687517,7672.4904132836255,8.694005190062322
2502.048027681958,-6455599.557125011,2042467.9576582967,7672.490413283597,8.69400519006225
2512.048027681958,-6478328.634649913,1969187.421625703,7672.490413283568,8.694005190062175
2522.048027681958,-6500225.899737652,1895654.0434356972,7672.49041328354,8.6940051900621
2532.048027681958,-6521288.540796157,1821877.2647177447,7672.490413283511,8.694005190062022
2542.048027681958,-6541513.853398439,1747866.5583537524,7672.490413283483,8.694005190061947
2552.048027681958,-6560899.2406298425,1673631.4272617584,7672.490413283454,8.694005190061873
2562.048027681958,-6579442.21342149,1599181.4031757633,7672.4904132834245,8.694005190061796
2572.048027681958,-6597140.390869869,1524526.0454218644,7672.490413283394,8.694005190061723
2582.048027681958,-6613991.500542545,1449674.9396908442,7672.490413283366,8.694005190061642
2592.048027681958,-6629993.378769936,1374637.6968073759,7672.490413283337,8.694005190061567
2602.048027681958,-6645143.970923129,1299423.9514960004,7672.490413283308,8.694005190061494
2612.048027681958,-6659441.331677688,1224043.3611440356,7672.490413283278,8.694005190061413
2622.048027681958,-6672883.62526344,1148505.6045615743,7672.490413283249,8.694005190061338
2632.048027681958,-6685469.125700179,1072820.3807387333,7672.490413283219,8.694005190061258
2642.048027681958,-6697196.217019282,996997.4076003102,7672.49041328319,8.694005190061182
2652.048027681958,-6708063.393471203,921046.420758009,7672.490413283161,8.694005190061102
2662.048027681958,-6718069.259718805,844977.1722603956,7672.49041328313,8.694005190061025
2672.048027681958,-6727212.53101652,768799.4293407418,7672.4904132831,8.69400519006095
